1	1	1
1	5	5
2	4	6
3	6	6
4	1	1
1	3	1
2	2	4
3	1	1
1	3	2
2	5	5
3	1	5
4	3	3
5	3	5
6	6	1
7	2	3
8	3	6
9	1	5
10	6	2
11	1	4
12	2	2
13	3	5
14	5	1
15	4	1
16	1	2
17	2	2
18	5	1
19	2	1
20	6	2
21	6	1
22	6	1
23	3	5
24	6	2
25	1	6
26	4	4
27	2	4
28	1	5
29	4	2
30	4	3
31	3	1
32	4	1
33	2	2
34	4	5
35	6	3
36	5	5
37	5	2
38	4	1
39	2	6
40	1	4
41	5	1
42	4	5
43	2	1
44	3	1
45	3	3
46	3	4
47	1	6
48	3	3
49	4	1
50	2	4
51	4	5
52	2	2
53	1	5
54	2	6
55	6	1
56	5	5
57	4	5
58	5	5
59	1	2
60	3	6
61	5	6
62	5	5
63	6	2
64	3	6
65	3	2
66	1	2
67	4	3
68	6	1
69	1	2
70	5	5
71	2	5
72	5	1
73	2	3
74	2	6
75	1	6
76	3	3
77	2	1
78	6	3
79	3	3
80	2	3
81	4	3
82	1	5
83	3	2
84	1	1
1	1	5
2	1	3
3	2	5
4	1	2
5	6	4
6	5	5
7	4	6
8	1	6
9	3	4
10	4	4
11	5	2
12	1	2
13	3	4
14	4	4
15	4	6
16	6	5
17	5	2
18	2	6
19	1	6
20	3	6
21	1	3
22	2	6
23	5	3
24	4	2
25	6	2
26	3	1
27	3	6
28	3	1
29	6	2
30	5	4
31	3	4
32	5	4
33	5	1
34	4	3
35	1	6
36	5	2
37	4	4
38	3	2
39	3	1
40	2	3
41	1	5
42	1	1
1	1	3
2	4	2
3	4	4
4	5	6
5	2	5
6	6	3
7	4	5
8	3	1
9	5	5
10	2	5
11	2	4
12	4	1
13	4	1
14	5	3
15	1	6
16	4	4
17	5	5
18	3	3
19	3	5
20	6	5
21	3	4
22	3	2
23	3	2
24	5	6
25	2	2
26	1	2
27	5	4
28	3	4
29	2	1
30	5	6
31	6	2
32	1	5
33	5	1
34	5	1
35	4	4
36	2	4
37	5	2
38	1	4
39	1	2
40	2	5
41	5	4
42	3	1
43	6	6
44	1	3
45	3	5
46	5	6
47	2	2
48	6	4
49	5	3
50	2	1
51	2	2
52	6	6
53	4	3
54	1	5
55	6	5
56	3	5
57	2	5
58	6	5
59	2	4
60	1	3
61	5	3
62	1	4
63	5	4
64	5	2
65	6	2
66	2	4
67	1	2
68	1	4
69	3	4
70	2	1
71	4	6
72	4	1
73	2	5
74	1	2
75	1	1
1	6	3
2	4	2
3	4	4
4	6	1
5	6	2
6	3	5
7	3	5
8	6	3
9	2	2
10	4	6
11	3	4
12	6	1
13	3	3
14	3	4
15	6	5
16	3	3
17	6	6
18	3	2
19	2	6
20	3	3
21	2	1
22	4	2
23	2	2
24	6	1
25	1	4
26	3	5
27	3	4
28	2	4
29	2	3
30	2	4
31	2	4
32	5	5
33	6	5
34	5	5
35	4	4
36	6	5
37	3	5
38	6	3
39	5	3
40	6	1
41	1	2
42	3	3
43	5	3
44	4	3
45	1	6
46	1	4
47	1	2
48	1	2
49	1	2
50	5	4
51	1	4
52	2	4
53	2	5
54	5	5
55	6	4
56	5	2
57	1	3
58	1	2
59	6	1
60	4	3
61	2	6
62	6	1
63	1	4
64	2	3
65	3	4
66	2	3
67	3	5
68	5	4
69	4	4
70	5	1
71	5	6
