run:
Let's roll some dice an unnecessarily
gargantuan number of times in order to
figure out, on average, how many rolls
it takes a given number of dice to get
a certain total.

|----------------------------------------------------|
|     Average Number of Rolls Taken To Get Total     |
| Total |--------------------------------------------|
|  on   |               Number of Dice               |
| Dice  |   1    |   2    |   3    |   4    |   5    |
|-------|--------|--------|--------|--------|--------|
|       |        |        |        |        |        |
|  001  |    6.0 |    0.0 |    0.0 |    0.0 |    0.0 |
|       |        |        |        |        |        |
|  002  |    6.0 |   35.9 |    0.0 |    0.0 |    0.0 |
|       |        |        |        |        |        |
|  003  |    6.1 |   18.0 |  219.0 |    0.0 |    0.0 |
|       |        |        |        |        |        |
|  004  |    6.1 |   11.8 |   70.8 | 1278.0 |    0.0 |
|       |        |        |        |        |        |
|  005  |    6.0 |    9.0 |   36.3 |  321.7 | 7692.7 |
|       |        |        |        |        |        |
|  006  |    6.1 |    7.2 |   21.6 |  129.0 | 1576.1 |
|       |        |        |        |        |        |
|  007  |    0.0 |    6.0 |   14.6 |   65.0 |  519.4 |
|       |        |        |        |        |        |
|  008  |    0.0 |    7.3 |   10.2 |   36.6 |  216.7 |
|       |        |        |        |        |        |
|  009  |    0.0 |    9.1 |    8.7 |   23.3 |  112.1 |
|       |        |        |        |        |        |
|  010  |    0.0 |   12.0 |    8.2 |   16.4 |   62.9 |
|       |        |        |        |        |        |
|  011  |    0.0 |   17.7 |    8.0 |   12.4 |   38.1 |
|       |        |        |        |        |        |
|  012  |    0.0 |   36.0 |    8.5 |   10.3 |   25.3 |
|       |        |        |        |        |        |
|  013  |    0.0 |    0.0 |   10.1 |    9.3 |   18.3 |
|       |        |        |        |        |        |
|  014  |    0.0 |    0.0 |   14.5 |    9.0 |   14.5 |
|       |        |        |        |        |        |
|  015  |    0.0 |    0.0 |   21.8 |    9.3 |   11.9 |
|       |        |        |        |        |        |
|  016  |    0.0 |    0.0 |   36.0 |   10.4 |   10.6 |
|       |        |        |        |        |        |
|  017  |    0.0 |    0.0 |   71.9 |   12.5 |   10.1 |
|       |        |        |        |        |        |
|  018  |    0.0 |    0.0 |  214.5 |   16.3 |    9.9 |
|       |        |        |        |        |        |
|  019  |    0.0 |    0.0 |    0.0 |   23.7 |   10.6 |
|       |        |        |        |        |        |
|  020  |    0.0 |    0.0 |    0.0 |   37.3 |   11.8 |
|       |        |        |        |        |        |
|  021  |    0.0 |    0.0 |    0.0 |   64.9 |   14.4 |
|       |        |        |        |        |        |
|  022  |    0.0 |    0.0 |    0.0 |  129.0 |   18.4 |
|       |        |        |        |        |        |
|  023  |    0.0 |    0.0 |    0.0 |  323.4 |   25.8 |
|       |        |        |        |        |        |
|  024  |    0.0 |    0.0 |    0.0 | 1291.0 |   38.7 |
|       |        |        |        |        |        |
|  025  |    0.0 |    0.0 |    0.0 |    0.0 |   61.4 |
|       |        |        |        |        |        |
|  026  |    0.0 |    0.0 |    0.0 |    0.0 |  112.4 |
|       |        |        |        |        |        |
|  027  |    0.0 |    0.0 |    0.0 |    0.0 |  220.6 |
|       |        |        |        |        |        |
|  028  |    0.0 |    0.0 |    0.0 |    0.0 |  518.5 |
|       |        |        |        |        |        |
|  029  |    0.0 |    0.0 |    0.0 |    0.0 | 1541.3 |
|       |        |        |        |        |        |
|  030  |    0.0 |    0.0 |    0.0 |    0.0 | 7733.6 |
|       |        |        |        |        |        |
|-------|--------|--------|--------|--------|--------|
BUILD SUCCESSFUL (total time: 29 seconds)
