run:
Let's roll some dice an unnecessarily
gargantuan number of times in order to
figure out, on average, how many rolls
it takes a given number of dice to get
a certain total.

|----------------------------------------------------|
|     Average Number of Rolls Taken To Get Total     |
| Total |--------------------------------------------|
|  on   |               Number of Dice               |
| Dice  |   1    |   2    |   3    |   4    |   5    |
|-------|--------|--------|--------|--------|--------|
|       |        |        |        |        |        |
|  001  |    5.0 |    0.0 |    0.0 |    0.0 |    0.0 |
|       |        |        |        |        |        |
|  002  |    5.0 |   36.0 |    0.0 |    0.0 |    0.0 |
|       |        |        |        |        |        |
|  003  |    6.0 |   18.0 |  213.0 |    0.0 |    0.0 |
|       |        |        |        |        |        |
|  004  |    6.0 |   12.0 |   71.0 | 1291.0 |    0.0 |
|       |        |        |        |        |        |
|  005  |    6.0 |    8.0 |   36.0 |  322.0 | 7753.0 |
|       |        |        |        |        |        |
|  006  |    5.0 |    7.0 |   21.0 |  129.0 | 1546.0 |
|       |        |        |        |        |        |
|  007  |    0.0 |    5.0 |   14.0 |   63.0 |  523.0 |
|       |        |        |        |        |        |
|  008  |    0.0 |    7.0 |   10.0 |   36.0 |  216.0 |
|       |        |        |        |        |        |
|  009  |    0.0 |    9.0 |    8.0 |   22.0 |  108.0 |
|       |        |        |        |        |        |
|  010  |    0.0 |   12.0 |    7.0 |   16.0 |   61.0 |
|       |        |        |        |        |        |
|  011  |    0.0 |   18.0 |    8.0 |   12.0 |   38.0 |
|       |        |        |        |        |        |
|  012  |    0.0 |   35.0 |    8.0 |   10.0 |   25.0 |
|       |        |        |        |        |        |
|  013  |    0.0 |    0.0 |   10.0 |    9.0 |   18.0 |
|       |        |        |        |        |        |
|  014  |    0.0 |    0.0 |   14.0 |    8.0 |   14.0 |
|       |        |        |        |        |        |
|  015  |    0.0 |    0.0 |   21.0 |    9.0 |   12.0 |
|       |        |        |        |        |        |
|  016  |    0.0 |    0.0 |   36.0 |   10.0 |   10.0 |
|       |        |        |        |        |        |
|  017  |    0.0 |    0.0 |   72.0 |   12.0 |    9.0 |
|       |        |        |        |        |        |
|  018  |    0.0 |    0.0 |  215.0 |   16.0 |   10.0 |
|       |        |        |        |        |        |
|  019  |    0.0 |    0.0 |    0.0 |   23.0 |   10.0 |
|       |        |        |        |        |        |
|  020  |    0.0 |    0.0 |    0.0 |   36.0 |   12.0 |
|       |        |        |        |        |        |
|  021  |    0.0 |    0.0 |    0.0 |   65.0 |   14.0 |
|       |        |        |        |        |        |
|  022  |    0.0 |    0.0 |    0.0 |  128.0 |   18.0 |
|       |        |        |        |        |        |
|  023  |    0.0 |    0.0 |    0.0 |  321.0 |   25.0 |
|       |        |        |        |        |        |
|  024  |    0.0 |    0.0 |    0.0 | 1287.0 |   37.0 |
|       |        |        |        |        |        |
|  025  |    0.0 |    0.0 |    0.0 |    0.0 |   60.0 |
|       |        |        |        |        |        |
|  026  |    0.0 |    0.0 |    0.0 |    0.0 |  112.0 |
|       |        |        |        |        |        |
|  027  |    0.0 |    0.0 |    0.0 |    0.0 |  219.0 |
|       |        |        |        |        |        |
|  028  |    0.0 |    0.0 |    0.0 |    0.0 |  516.0 |
|       |        |        |        |        |        |
|  029  |    0.0 |    0.0 |    0.0 |    0.0 | 1553.0 |
|       |        |        |        |        |        |
|  030  |    0.0 |    0.0 |    0.0 |    0.0 | 7867.0 |
|       |        |        |        |        |        |
|-------|--------|--------|--------|--------|--------|
BUILD SUCCESSFUL (total time: 29 seconds)
