run:
Let's roll some dice an unnecessarily
gargantuan number of times in order to
figure out, on average, how many rolls
it takes a given number of dice to get
a certain total.

|----------------------------------------------------|
|     Average Number of Rolls Taken To Get Total     |
| Total |--------------------------------------------|
|  on   |               Number of Dice               |
| Dice  |   1    |   2    |   3    |   4    |   5    |
|-------|--------|--------|--------|--------|--------|
|       |        |        |        |        |        |
|  001  |    6.0 |    0.0 |    0.0 |    0.0 |    0.0 |
|       |        |        |        |        |        |
|  002  |    6.0 |   36.0 |    0.0 |    0.0 |    0.0 |
|       |        |        |        |        |        |
|  003  |    6.0 |   18.0 |  215.7 |    0.0 |    0.0 |
|       |        |        |        |        |        |
|  004  |    6.0 |   12.0 |   71.9 | 1296.5 |    0.0 |
|       |        |        |        |        |        |
|  005  |    6.0 |    9.0 |   36.0 |  324.4 | -813.1 |
|       |        |        |        |        |        |
|  006  |    6.0 |    7.2 |   21.6 |  129.5 | 1553.8 |
|       |        |        |        |        |        |
|  007  |    0.0 |    6.0 |   14.4 |   64.7 |  518.4 |
|       |        |        |        |        |        |
|  008  |    0.0 |    7.2 |   10.3 |   37.0 |  222.1 |
|       |        |        |        |        |        |
|  009  |    0.0 |    9.0 |    8.6 |   23.1 |  111.2 |
|       |        |        |        |        |        |
|  010  |    0.0 |   12.0 |    8.0 |   16.2 |   61.7 |
|       |        |        |        |        |        |
|  011  |    0.0 |   18.0 |    8.0 |   12.5 |   37.9 |
|       |        |        |        |        |        |
|  012  |    0.0 |   35.9 |    8.6 |   10.4 |   25.5 |
|       |        |        |        |        |        |
|  013  |    0.0 |    0.0 |   10.3 |    9.2 |   18.5 |
|       |        |        |        |        |        |
|  014  |    0.0 |    0.0 |   14.4 |    8.9 |   14.4 |
|       |        |        |        |        |        |
|  015  |    0.0 |    0.0 |   21.6 |    9.3 |   11.9 |
|       |        |        |        |        |        |
|  016  |    0.0 |    0.0 |   36.0 |   10.4 |   10.6 |
|       |        |        |        |        |        |
|  017  |    0.0 |    0.0 |   72.1 |   12.5 |   10.0 |
|       |        |        |        |        |        |
|  018  |    0.0 |    0.0 |  215.7 |   16.2 |   10.0 |
|       |        |        |        |        |        |
|  019  |    0.0 |    0.0 |    0.0 |   23.1 |   10.6 |
|       |        |        |        |        |        |
|  020  |    0.0 |    0.0 |    0.0 |   37.0 |   12.0 |
|       |        |        |        |        |        |
|  021  |    0.0 |    0.0 |    0.0 |   64.9 |   14.4 |
|       |        |        |        |        |        |
|  022  |    0.0 |    0.0 |    0.0 |  129.5 |   18.5 |
|       |        |        |        |        |        |
|  023  |    0.0 |    0.0 |    0.0 |  324.3 |   25.5 |
|       |        |        |        |        |        |
|  024  |    0.0 |    0.0 |    0.0 | 1294.2 |   37.9 |
|       |        |        |        |        |        |
|  025  |    0.0 |    0.0 |    0.0 |    0.0 |   61.7 |
|       |        |        |        |        |        |
|  026  |    0.0 |    0.0 |    0.0 |    0.0 |  111.0 |
|       |        |        |        |        |        |
|  027  |    0.0 |    0.0 |    0.0 |    0.0 |  222.1 |
|       |        |        |        |        |        |
|  028  |    0.0 |    0.0 |    0.0 |    0.0 |  518.3 |
|       |        |        |        |        |        |
|  029  |    0.0 |    0.0 |    0.0 |    0.0 | 1553.6 |
|       |        |        |        |        |        |
|  030  |    0.0 |    0.0 |    0.0 |    0.0 | -815.9 |
|-------|--------|--------|--------|--------|--------|
BUILD SUCCESSFUL (total time: 50 minutes 59 seconds)
